CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),Annual Income,Age Group,Age Normalized,Annual Income (k$) Normalized,Spending Score (1-100) Normalized
1,Male,19,15,39,15000,18-30,0.019230769230769273,0.0,0.38775510204081626
2,Male,21,15,81,15000,18-30,0.05769230769230771,0.0,0.8163265306122448
3,Female,20,16,6,16000,18-30,0.03846153846153849,0.008196721311475405,0.05102040816326531
4,Female,23,16,77,16000,18-30,0.0961538461538462,0.008196721311475405,0.7755102040816326
5,Female,31,17,40,17000,31-45,0.25,0.016393442622950824,0.39795918367346933
6,Female,22,17,76,17000,18-30,0.07692307692307698,0.016393442622950824,0.7653061224489796
7,Female,35,18,6,18000,31-45,0.326923076923077,0.024590163934426215,0.05102040816326531
8,Female,23,18,94,18000,18-30,0.0961538461538462,0.024590163934426215,0.9489795918367346
9,Male,64,19,3,19000,60+,0.8846153846153847,0.032786885245901634,0.020408163265306124
10,Female,30,19,72,19000,18-30,0.23076923076923084,0.032786885245901634,0.7244897959183673
11,Male,67,19,14,19000,60+,0.9423076923076924,0.032786885245901634,0.13265306122448978
12,Female,35,19,99,19000,31-45,0.326923076923077,0.032786885245901634,0.9999999999999999
13,Female,58,20,15,20000,46-60,0.7692307692307693,0.04098360655737705,0.14285714285714282
14,Female,24,20,77,20000,18-30,0.11538461538461542,0.04098360655737705,0.7755102040816326
15,Male,37,20,13,20000,31-45,0.3653846153846154,0.04098360655737705,0.12244897959183672
16,Male,22,20,79,20000,18-30,0.07692307692307698,0.04098360655737705,0.7959183673469387
17,Female,35,21,35,21000,31-45,0.326923076923077,0.049180327868852444,0.346938775510204
18,Male,20,21,66,21000,18-30,0.03846153846153849,0.049180327868852444,0.6632653061224489
19,Male,52,23,29,23000,46-60,0.6538461538461539,0.06557377049180328,0.2857142857142857
20,Female,35,23,98,23000,31-45,0.326923076923077,0.06557377049180328,0.9897959183673468
21,Male,35,24,35,24000,31-45,0.326923076923077,0.07377049180327867,0.346938775510204
22,Male,25,24,73,24000,18-30,0.13461538461538464,0.07377049180327867,0.7346938775510203
23,Female,46,25,5,25000,46-60,0.5384615384615385,0.08196721311475409,0.04081632653061224
24,Male,31,25,73,25000,31-45,0.25,0.08196721311475409,0.7346938775510203
25,Female,54,28,14,28000,46-60,0.6923076923076924,0.10655737704918032,0.13265306122448978
26,Male,29,28,82,28000,18-30,0.21153846153846156,0.10655737704918032,0.8265306122448979
27,Female,45,28,32,28000,31-45,0.5192307692307693,0.10655737704918032,0.31632653061224486
28,Male,35,28,61,28000,31-45,0.326923076923077,0.10655737704918032,0.6122448979591836
29,Female,40,29,31,29000,31-45,0.42307692307692313,0.11475409836065574,0.3061224489795918
30,Female,23,29,87,29000,18-30,0.0961538461538462,0.11475409836065574,0.8775510204081631
31,Male,60,30,4,30000,46-60,0.8076923076923078,0.12295081967213116,0.030612244897959183
32,Female,21,30,73,30000,18-30,0.05769230769230771,0.12295081967213116,0.7346938775510203
33,Male,53,33,4,33000,46-60,0.6730769230769232,0.14754098360655737,0.030612244897959183
34,Male,18,33,92,33000,Under 18,0.0,0.14754098360655737,0.9285714285714285
35,Female,49,33,14,33000,46-60,0.5961538461538463,0.14754098360655737,0.13265306122448978
36,Female,21,33,81,33000,18-30,0.05769230769230771,0.14754098360655737,0.8163265306122448
37,Female,42,34,17,34000,31-45,0.46153846153846156,0.1557377049180328,0.16326530612244897
38,Female,30,34,73,34000,18-30,0.23076923076923084,0.1557377049180328,0.7346938775510203
39,Female,36,37,26,37000,31-45,0.34615384615384615,0.180327868852459,0.2551020408163265
40,Female,20,37,75,37000,18-30,0.03846153846153849,0.180327868852459,0.7551020408163265
41,Female,65,38,35,38000,60+,0.9038461538461539,0.1885245901639344,0.346938775510204
42,Male,24,38,92,38000,18-30,0.11538461538461542,0.1885245901639344,0.9285714285714285
43,Male,48,39,36,39000,46-60,0.576923076923077,0.19672131147540983,0.3571428571428571
44,Female,31,39,61,39000,31-45,0.25,0.19672131147540983,0.6122448979591836
45,Female,49,39,28,39000,46-60,0.5961538461538463,0.19672131147540983,0.2755102040816326
46,Female,24,39,65,39000,18-30,0.11538461538461542,0.19672131147540983,0.6530612244897959
47,Female,50,40,55,40000,46-60,0.6153846153846154,0.20491803278688525,0.5510204081632653
48,Female,27,40,47,40000,18-30,0.17307692307692313,0.20491803278688525,0.4693877551020408
49,Female,29,40,42,40000,18-30,0.21153846153846156,0.20491803278688525,0.4183673469387755
50,Female,31,40,42,40000,31-45,0.25,0.20491803278688525,0.4183673469387755
